ID,YEAR,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,latitude,longitude,REGION_CODE,MAXIMUM_WATER_HEIGHT
1756,1944,7,30,8.1,JAPAN,OFF SOUTHEAST COAST KII PENINSULA,34,137.1,85,10
2458,1944,,,,USA,CONEY ISLAND, NY,40.3,-74,75
1759,1945,12,33,7.1,JAPAN,TOKAIDO,34.7,137.2,85,1
1760,1945,10,20,7.3,JAPAN,SANRIKU,40.9,142.1,85,0.4
1761,1945,27,,8,PAKISTAN,MAKRAN COAST,24.5,63,60,17
1762,1946,1,15,8.6,USA,UNIMAK ISLAND, AK,53.492,-162.832,87
1763,1946,23,,7.3,CANADA,BRITISH COLUMBIA,49.87,-124.92,88,9
1764,1946,2,60,7.9,CHILE,NORTHERN CHILE,-26.5,-70.5,89,
1765,1946,4,15,7.9,DOMINICAN REPUBLIC,NORTHEASTERN COAST,19.25,-69,74,5
1766,1946,8,15,7.5,DOMINICAN REPUBLIC,NORTHEASTERN COAST,19.5,-69.5,74,0.6
1767,1946,30,70,7,PERU,S. PERU,-14,-76.25,89,
1768,1946,1,40,7,USA,ANDREANOF ISLANDS, AK,51.5,-174.5,87
1769,1946,13,,,RUSSIA,N. KURIL ISLANDS,48.1,153.1,86,
1770,1946,20,20,8.1,JAPAN,HONSHU: S COAST,33,135.6,85,6.6
1771,1947,,,,USA,HAWAII,,,80,
1772,1947,25,12,7.1,NEW ZEALAND,OFF COAST OF NORTH ISLAND,-38.85,178.87,81,10
1774,1947,17,12,6.9,NEW ZEALAND,OFF COAST OF NORTH ISLAND,-38.42,178.88,81,6
1775,1947,6,28,6.9,GREECE,PELOPONNESUS, GREECE,37,22,50
1776,1947,4,33,7,JAPAN,W. HOKKAIDO ISLAND,43.8,141,85,2
1777,1948,24,33,8.3,PHILIPPINES,SULU SEA,10.5,122,84,
1779,1948,9,40,7.1,GREECE,DODECANESE, KARPATHOS IS.,35.5,27.2,50
1781,1948,17,40,7.2,JAPAN,TOKAIDO,33.1,135.6,85,0.6
1782,1948,22,15,6.5,GREECE,IONIAN SEA,38.532,20.427,50,1
5659,1948,23,,6,CHINA,SHANDONG PROVINCE,37.2,121.8,84,3
1783,1948,1,,6.3,INDONESIA,OFF NORTHWEST COAST,6,95,60,
1784,1948,8,33,7.8,TONGA,TONGA TRENCH,-21,-174,81,2
1785,1948,3,,6.9,MEXICO,MEXICO,22,-106,88,5
1786,1948,26,100,7,CHILE,NORTHERN CHILE,-22.5,-69,89,
1788,1949,27,150,5.9,RUSSIA,KAMCHATKA,54.6,163.5,86,
3405,1949,9,15,,GREECE,WEST COAST OF GREECE,38.2,20,50,
1790,1949,13,70,7,USA,PUGET SOUND, WA,47.167,-122.617,88
1791,1949,16,,,USA,PUGET SOUND, WA,,,88
1792,1949,20,70,7.3,CHILE,CENTRAL CHILE,-38,-73.5,89,
1793,1949,9,,6.7,INDONESIA,BANDA ACEH,5,95,60,
1787,1949,23,,6.7,GREECE,CHIOS ISLAND, AEGEAN ISLANDS,38.58,26.23,50
1794,1949,27,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
1795,1949,22,25,8.1,CANADA,BRITISH COLUMBIA,53.6,-133.3,88,0.61
1797,1949,5,80,6.4,PHILIPPINES,NORTHERN LUZON ISLAND,17,121.5,84,0.1
1798,1949,27,50,6.7,USA,GULF OF ALASKA, AK,59.75,-149,87
